
apple,яблуко
dog,собака
house,будинок
car,автомобіль
tree,дерево
water,вода
book,книга
chair,стілець
table,стіл
cat,кіт
sun,сонце
moon,місяць
star,зірка
bird,птах
flower,квітка
mountain,гора
river,річка
ocean,океан
road,дорога
city,місто
country,країна
forest,ліс
sky,небо
cloud,хмара
rain,дощ
snow,сніг
wind,вітер
fire,вогонь
ice,лід
rock,скеля
sand,пісок
beach,пляж
park,парк
school,школа
teacher,вчитель
student,студент
friend,друг
family,сім’я
mother,мати
father,батько
sister,сестра
brother,брат
baby,дитина
love,любов
happiness,щастя
sadness,смуток
music,музика
song,пісня
dance,танець
movie,фільм
food,їжа
drink,напій
chocolate,шоколад
pizza,піца
cake,торт
fruit,фрукти
vegetable,овоч
coffee,кава
tea,чай
juice,сік
